time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
0.38262,1000000,100,100,1
0.69367,1000000,100,100,2
0.506109,1000000,100,100,3
0.524982,1000000,100,100,4
0.339863,1000000,100,100,5
0.363488,1000000,100,100,6
0.488916,1000000,100,100,7
0.34802,1000000,100,100,8
0.255981,1000000,100,1000,1
0.524829,1000000,100,1000,2
0.249292,1000000,100,1000,3
0.32063,1000000,100,1000,4
0.304058,1000000,100,1000,5
0.400769,1000000,100,1000,6
0.318563,1000000,100,1000,7
0.387681,1000000,100,1000,8
0.361307,1000000,100,10000,1
0.52328,1000000,100,10000,2
0.204671,1000000,100,10000,3
0.319853,1000000,100,10000,4
0.319448,1000000,100,10000,5
0.273722,1000000,100,10000,6
0.307076,1000000,100,10000,7
0.29544,1000000,100,10000,8
0.371406,1000000,1000,100,1
0.678687,1000000,1000,100,2
0.527226,1000000,1000,100,3
0.656773,1000000,1000,100,4
1.18772,1000000,1000,100,5
1.24311,1000000,1000,100,6
1.47292,1000000,1000,100,7
1.0056,1000000,1000,100,8
0.230919,1000000,1000,1000,1
0.668986,1000000,1000,1000,2
0.542251,1000000,1000,1000,3
0.497275,1000000,1000,1000,4
0.456388,1000000,1000,1000,5
0.630772,1000000,1000,1000,6
0.658665,1000000,1000,1000,7
0.658354,1000000,1000,1000,8
0.347775,1000000,1000,10000,1
0.44007,1000000,1000,10000,2
0.240909,1000000,1000,10000,3
0.270506,1000000,1000,10000,4
0.323813,1000000,1000,10000,5
0.278639,1000000,1000,10000,6
0.301029,1000000,1000,10000,7
0.309175,1000000,1000,10000,8
0.427625,1000000,10000,100,1
0.710774,1000000,10000,100,2
0.735039,1000000,10000,100,3
0.639591,1000000,10000,100,4
0.692932,1000000,10000,100,5
0.735687,1000000,10000,100,6
0.717397,1000000,10000,100,7
0.719798,1000000,10000,100,8
0.386295,1000000,10000,1000,1
0.780077,1000000,10000,1000,2
0.95646,1000000,10000,1000,3
1.11303,1000000,10000,1000,4
1.01593,1000000,10000,1000,5
1.21955,1000000,10000,1000,6
1.29533,1000000,10000,1000,7
1.29601,1000000,10000,1000,8
0.260679,1000000,10000,10000,1
0.77979,1000000,10000,10000,2
0.389086,1000000,10000,10000,3
0.545838,1000000,10000,10000,4
0.552801,1000000,10000,10000,5
0.523044,1000000,10000,10000,6
0.310587,1000000,10000,10000,7
0.353579,1000000,10000,10000,8
3.13676,10000000,100,100,1
5.93756,10000000,100,100,2
4.73622,10000000,100,100,3
7.26443,10000000,100,100,4
6.47574,10000000,100,100,5
7.24427,10000000,100,100,6
8.05704,10000000,100,100,7
7.2173,10000000,100,100,8
5.68344,10000000,100,1000,1
8.3177,10000000,100,1000,2
6.07821,10000000,100,1000,3
7.89168,10000000,100,1000,4
5.33142,10000000,100,1000,5
4.54014,10000000,100,1000,6
3.43754,10000000,100,1000,7
5.38303,10000000,100,1000,8
4.15114,10000000,100,10000,1
5.9647,10000000,100,10000,2
3.05068,10000000,100,10000,3
3.90313,10000000,100,10000,4
3.48973,10000000,100,10000,5
5.39224,10000000,100,10000,6
7.97568,10000000,100,10000,7
8.22776,10000000,100,10000,8
5.44761,10000000,1000,100,1
8.77145,10000000,1000,100,2
9.40357,10000000,1000,100,3
9.27456,10000000,1000,100,4
7.33197,10000000,1000,100,5
12.4956,10000000,1000,100,6
15.2319,10000000,1000,100,7
15.7438,10000000,1000,100,8
2.86007,10000000,1000,1000,1
9.77927,10000000,1000,1000,2
4.21278,10000000,1000,1000,3
4.19444,10000000,1000,1000,4
7.17436,10000000,1000,1000,5
7.4621,10000000,1000,1000,6
8.07825,10000000,1000,1000,7
7.22594,10000000,1000,1000,8
3.00893,10000000,1000,10000,1
8.43844,10000000,1000,10000,2
4.49558,10000000,1000,10000,3
7.35513,10000000,1000,10000,4
7.23771,10000000,1000,10000,5
7.92229,10000000,1000,10000,6
8.09958,10000000,1000,10000,7
5.5754,10000000,1000,10000,8
4.53235,10000000,10000,100,1
11.1466,10000000,10000,100,2
7.00444,10000000,10000,100,3
8.6363,10000000,10000,100,4
9.12918,10000000,10000,100,5
13.4378,10000000,10000,100,6
16.1568,10000000,10000,100,7
12.9555,10000000,10000,100,8
7.58261,10000000,10000,1000,1
12.216,10000000,10000,1000,2
7.68023,10000000,10000,1000,3
13.51,10000000,10000,1000,4
16.4291,10000000,10000,1000,5
20.1716,10000000,10000,1000,6
17.7947,10000000,10000,1000,7
21.2368,10000000,10000,1000,8
6.33056,10000000,10000,10000,1
11.346,10000000,10000,10000,2
5.41732,10000000,10000,10000,3
6.49746,10000000,10000,10000,4
6.35835,10000000,10000,10000,5
7.01035,10000000,10000,10000,6
7.8252,10000000,10000,10000,7
7.94429,10000000,10000,10000,8
