time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
1.28252,1000000,100,100,1
1.23046,1000000,100,100,2
0.822476,1000000,100,100,3
0.794615,1000000,100,100,4
0.659559,1000000,100,100,5
0.681648,1000000,100,100,6
0.730003,1000000,100,100,7
0.792163,1000000,100,100,8
1.12462,1000000,100,1000,1
0.939604,1000000,100,1000,2
0.650234,1000000,100,1000,3
0.686861,1000000,100,1000,4
0.687859,1000000,100,1000,5
0.677106,1000000,100,1000,6
0.650898,1000000,100,1000,7
0.684866,1000000,100,1000,8
1.31356,1000000,100,10000,1
0.870846,1000000,100,10000,2
0.675378,1000000,100,10000,3
0.653086,1000000,100,10000,4
0.6179,1000000,100,10000,5
0.628161,1000000,100,10000,6
0.656449,1000000,100,10000,7
0.605948,1000000,100,10000,8
1.34211,1000000,1000,100,1
1.55372,1000000,1000,100,2
1.40354,1000000,1000,100,3
2.09931,1000000,1000,100,4
2.72104,1000000,1000,100,5
2.79531,1000000,1000,100,6
2.00827,1000000,1000,100,7
2.45567,1000000,1000,100,8
0.935846,1000000,1000,1000,1
1.19942,1000000,1000,1000,2
0.762612,1000000,1000,1000,3
0.978331,1000000,1000,1000,4
0.852041,1000000,1000,1000,5
1.07674,1000000,1000,1000,6
1.05063,1000000,1000,1000,7
0.971561,1000000,1000,1000,8
1.02773,1000000,1000,10000,1
0.893354,1000000,1000,10000,2
0.562332,1000000,1000,10000,3
0.570621,1000000,1000,10000,4
0.577796,1000000,1000,10000,5
0.556516,1000000,1000,10000,6
0.535254,1000000,1000,10000,7
0.564705,1000000,1000,10000,8
1.32896,1000000,10000,100,1
1.7837,1000000,10000,100,2
1.53817,1000000,10000,100,3
1.52139,1000000,10000,100,4
1.553,1000000,10000,100,5
1.54597,1000000,10000,100,6
1.55721,1000000,10000,100,7
1.49723,1000000,10000,100,8
1.34788,1000000,10000,1000,1
2.25309,1000000,10000,1000,2
2.28914,1000000,10000,1000,3
2.3122,1000000,10000,1000,4
2.43264,1000000,10000,1000,5
2.44796,1000000,10000,1000,6
2.57654,1000000,10000,1000,7
2.64164,1000000,10000,1000,8
1.02808,1000000,10000,10000,1
1.16536,1000000,10000,10000,2
0.991266,1000000,10000,10000,3
0.889515,1000000,10000,10000,4
0.909891,1000000,10000,10000,5
0.894264,1000000,10000,10000,6
0.550265,1000000,10000,10000,7
0.687445,1000000,10000,10000,8
12.3638,10000000,100,100,1
12.4709,10000000,100,100,2
12.0782,10000000,100,100,3
13.5158,10000000,100,100,4
14.2413,10000000,100,100,5
14.5171,10000000,100,100,6
14.7119,10000000,100,100,7
13.9099,10000000,100,100,8
14.5956,10000000,100,1000,1
13.7813,10000000,100,1000,2
15.8905,10000000,100,1000,3
16.5618,10000000,100,1000,4
11.9016,10000000,100,1000,5
6.95371,10000000,100,1000,6
8.27865,10000000,100,1000,7
6.8026,10000000,100,1000,8
12.1204,10000000,100,10000,1
11.534,10000000,100,10000,2
8.34419,10000000,100,10000,3
11.3397,10000000,100,10000,4
7.65507,10000000,100,10000,5
16.6577,10000000,100,10000,6
16.0788,10000000,100,10000,7
14.3464,10000000,100,10000,8
19.5803,10000000,1000,100,1
29.2015,10000000,1000,100,2
25.3174,10000000,1000,100,3
21.3232,10000000,1000,100,4
23.2178,10000000,1000,100,5
21.3428,10000000,1000,100,6
35.5559,10000000,1000,100,7
28.5751,10000000,1000,100,8
9.09233,10000000,1000,1000,1
15.5241,10000000,1000,1000,2
6.7746,10000000,1000,1000,3
9.34597,10000000,1000,1000,4
14.2074,10000000,1000,1000,5
12.0412,10000000,1000,1000,6
12.95,10000000,1000,1000,7
11.828,10000000,1000,1000,8
12.0293,10000000,1000,10000,1
18.613,10000000,1000,10000,2
12.5001,10000000,1000,10000,3
13.7299,10000000,1000,10000,4
16.1755,10000000,1000,10000,5
15.3578,10000000,1000,10000,6
14.7974,10000000,1000,10000,7
11.3389,10000000,1000,10000,8
21.8463,10000000,10000,100,1
23.001,10000000,10000,100,2
25.3758,10000000,10000,100,3
19.6535,10000000,10000,100,4
24.0715,10000000,10000,100,5
30.337,10000000,10000,100,6
26.5403,10000000,10000,100,7
34.5318,10000000,10000,100,8
18.1423,10000000,10000,1000,1
25.2348,10000000,10000,1000,2
27.0537,10000000,10000,1000,3
27.9918,10000000,10000,1000,4
30.3023,10000000,10000,1000,5
31.34,10000000,10000,1000,6
36.0883,10000000,10000,1000,7
40.2739,10000000,10000,1000,8
25.2741,10000000,10000,10000,1
20.0708,10000000,10000,10000,2
11.6881,10000000,10000,10000,3
9.95215,10000000,10000,10000,4
10.5202,10000000,10000,10000,5
13.7061,10000000,10000,10000,6
13.3686,10000000,10000,10000,7
15.0829,10000000,10000,10000,8
