time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
2.90272,1000000,100,100,1
2.41127,1000000,100,100,2
1.72763,1000000,100,100,3
1.52029,1000000,100,100,4
1.36177,1000000,100,100,5
1.41219,1000000,100,100,6
1.39876,1000000,100,100,7
1.11647,1000000,100,100,8
2.91376,1000000,100,1000,1
2.52704,1000000,100,1000,2
1.76951,1000000,100,1000,3
1.43639,1000000,100,1000,4
1.39474,1000000,100,1000,5
1.46346,1000000,100,1000,6
1.36148,1000000,100,1000,7
1.13345,1000000,100,1000,8
2.79792,1000000,100,10000,1
1.80207,1000000,100,10000,2
1.64681,1000000,100,10000,3
1.4267,1000000,100,10000,4
1.33415,1000000,100,10000,5
1.40729,1000000,100,10000,6
1.43286,1000000,100,10000,7
1.22003,1000000,100,10000,8
4.17223,1000000,1000,100,1
4.6821,1000000,1000,100,2
4.38255,1000000,1000,100,3
4.17166,1000000,1000,100,4
4.29186,1000000,1000,100,5
4.41545,1000000,1000,100,6
4.50241,1000000,1000,100,7
4.41988,1000000,1000,100,8
2.14685,1000000,1000,1000,1
1.66794,1000000,1000,1000,2
1.53559,1000000,1000,1000,3
1.19561,1000000,1000,1000,4
1.13887,1000000,1000,1000,5
1.16421,1000000,1000,1000,6
0.983471,1000000,1000,1000,7
0.905679,1000000,1000,1000,8
2.30329,1000000,1000,10000,1
2.15091,1000000,1000,10000,2
1.71232,1000000,1000,10000,3
1.19961,1000000,1000,10000,4
1.18118,1000000,1000,10000,5
1.22803,1000000,1000,10000,6
1.26848,1000000,1000,10000,7
0.964514,1000000,1000,10000,8
4.00958,1000000,10000,100,1
4.87604,1000000,10000,100,2
4.35393,1000000,10000,100,3
4.22483,1000000,10000,100,4
4.23428,1000000,10000,100,5
4.43202,1000000,10000,100,6
4.31141,1000000,10000,100,7
4.458,1000000,10000,100,8
4.16417,1000000,10000,1000,1
4.48884,1000000,10000,1000,2
4.48303,1000000,10000,1000,3
4.30654,1000000,10000,1000,4
4.22575,1000000,10000,1000,5
4.47219,1000000,10000,1000,6
4.26362,1000000,10000,1000,7
4.12951,1000000,10000,1000,8
1.79242,1000000,10000,10000,1
1.70429,1000000,10000,10000,2
1.24838,1000000,10000,10000,3
0.982082,1000000,10000,10000,4
0.983699,1000000,10000,10000,5
1.10975,1000000,10000,10000,6
0.787024,1000000,10000,10000,7
0.900865,1000000,10000,10000,8
35.1327,10000000,100,100,1
27.9883,10000000,100,100,2
22.4885,10000000,100,100,3
17.3928,10000000,100,100,4
17.7035,10000000,100,100,5
18.5771,10000000,100,100,6
17.2499,10000000,100,100,7
14.074,10000000,100,100,8
34.7483,10000000,100,1000,1
29.5546,10000000,100,1000,2
21.3708,10000000,100,1000,3
17.19,10000000,100,1000,4
16.9614,10000000,100,1000,5
17.6619,10000000,100,1000,6
14.41,10000000,100,1000,7
16.954,10000000,100,1000,8
34.2865,10000000,100,10000,1
24.5341,10000000,100,10000,2
24.1693,10000000,100,10000,3
17.5221,10000000,100,10000,4
16.4847,10000000,100,10000,5
17.597,10000000,100,10000,6
13.9319,10000000,100,10000,7
13.4854,10000000,100,10000,8
47.2605,10000000,1000,100,1
54.1171,10000000,1000,100,2
51.4611,10000000,1000,100,3
50.1983,10000000,1000,100,4
50.1751,10000000,1000,100,5
51.4311,10000000,1000,100,6
49.1112,10000000,1000,100,7
48.3973,10000000,1000,100,8
28.6526,10000000,1000,1000,1
22.6238,10000000,1000,1000,2
17.3921,10000000,1000,1000,3
15.0495,10000000,1000,1000,4
13.978,10000000,1000,1000,5
15.9987,10000000,1000,1000,6
12.7225,10000000,1000,1000,7
12.2156,10000000,1000,1000,8
29.0909,10000000,1000,10000,1
24.1387,10000000,1000,10000,2
19.6579,10000000,1000,10000,3
15.0154,10000000,1000,10000,4
14.2952,10000000,1000,10000,5
16.1611,10000000,1000,10000,6
12.2803,10000000,1000,10000,7
14.6512,10000000,1000,10000,8
47.4091,10000000,10000,100,1
54.3709,10000000,10000,100,2
52.4111,10000000,10000,100,3
49.0646,10000000,10000,100,4
50.9238,10000000,10000,100,5
52.7382,10000000,10000,100,6
51.9383,10000000,10000,100,7
51.2164,10000000,10000,100,8
46.9965,10000000,10000,1000,1
52.6546,10000000,10000,1000,2
52.5467,10000000,10000,1000,3
49.7121,10000000,10000,1000,4
50.5262,10000000,10000,1000,5
51.4522,10000000,10000,1000,6
52.8077,10000000,10000,1000,7
51.5224,10000000,10000,1000,8
22.6693,10000000,10000,10000,1
21.0219,10000000,10000,10000,2
17.635,10000000,10000,10000,3
12.2654,10000000,10000,10000,4
12.2102,10000000,10000,10000,5
13.7056,10000000,10000,10000,6
12.9994,10000000,10000,10000,7
9.45613,10000000,10000,10000,8
