time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
2.74895,1000000,100,100,1
4.91588,1000000,100,100,2
6.11019,1000000,100,100,3
8.21002,1000000,100,100,4
7.87532,1000000,100,100,5
10.7305,1000000,100,100,6
10.2597,1000000,100,100,7
12.777,1000000,100,100,8
2.91101,1000000,100,1000,1
4.98875,1000000,100,1000,2
5.83907,1000000,100,1000,3
6.494,1000000,100,1000,4
7.96859,1000000,100,1000,5
10.2016,1000000,100,1000,6
12.104,1000000,100,1000,7
12.953,1000000,100,1000,8
2.86051,1000000,100,10000,1
4.45745,1000000,100,10000,2
5.84937,1000000,100,10000,3
6.69633,1000000,100,10000,4
7.83847,1000000,100,10000,5
9.70092,1000000,100,10000,6
9.76579,1000000,100,10000,7
10.4405,1000000,100,10000,8
4.11207,1000000,1000,100,1
9.3516,1000000,1000,100,2
14.5856,1000000,1000,100,3
18.8389,1000000,1000,100,4
24.3422,1000000,1000,100,5
30.1776,1000000,1000,100,6
36.8129,1000000,1000,100,7
38.6267,1000000,1000,100,8
2.26855,1000000,1000,1000,1
4.31774,1000000,1000,1000,2
4.73932,1000000,1000,1000,3
5.33776,1000000,1000,1000,4
6.65659,1000000,1000,1000,5
8.97196,1000000,1000,1000,6
8.29968,1000000,1000,1000,7
10.7068,1000000,1000,1000,8
2.26704,1000000,1000,10000,1
4.35335,1000000,1000,10000,2
4.95148,1000000,1000,10000,3
5.41609,1000000,1000,10000,4
6.54118,1000000,1000,10000,5
8.68743,1000000,1000,10000,6
10.1259,1000000,1000,10000,7
10.8662,1000000,1000,10000,8
4.15374,1000000,10000,100,1
9.85661,1000000,10000,100,2
14.1321,1000000,10000,100,3
19.1036,1000000,10000,100,4
24.4859,1000000,10000,100,5
30.4082,1000000,10000,100,6
33.1827,1000000,10000,100,7
38.934,1000000,10000,100,8
3.97859,1000000,10000,1000,1
9.86702,1000000,10000,1000,2
14.4564,1000000,10000,1000,3
18.8435,1000000,10000,1000,4
24.0307,1000000,10000,1000,5
29.3815,1000000,10000,1000,6
35.2637,1000000,10000,1000,7
38.5051,1000000,10000,1000,8
1.7964,1000000,10000,10000,1
3.67757,1000000,10000,10000,2
3.99536,1000000,10000,10000,3
4.3029,1000000,10000,10000,4
5.45447,1000000,10000,10000,5
7.61802,1000000,10000,10000,6
7.38501,1000000,10000,10000,7
7.14971,1000000,10000,10000,8
35.1207,10000000,100,100,1
53.54,10000000,100,100,2
72.4237,10000000,100,100,3
79.3913,10000000,100,100,4
94.9211,10000000,100,100,5
118.238,10000000,100,100,6
119.215,10000000,100,100,7
128.622,10000000,100,100,8
34.9705,10000000,100,1000,1
60.36,10000000,100,1000,2
68.4338,10000000,100,1000,3
78.8138,10000000,100,1000,4
99.1439,10000000,100,1000,5
120.619,10000000,100,1000,6
136.556,10000000,100,1000,7
126.853,10000000,100,1000,8
35.6234,10000000,100,10000,1
60.6265,10000000,100,10000,2
71.3833,10000000,100,10000,3
78.4935,10000000,100,10000,4
94.9822,10000000,100,10000,5
116.007,10000000,100,10000,6
138.69,10000000,100,10000,7
127.784,10000000,100,10000,8
47.865,10000000,1000,100,1
113.105,10000000,1000,100,2
166.5,10000000,1000,100,3
217.573,10000000,1000,100,4
275.761,10000000,1000,100,5
