time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
0.846862,1000000,100,100,1
2.71128,1000000,100,100,2
2.78403,1000000,100,100,3
2.81492,1000000,100,100,4
3.56581,1000000,100,100,5
5.48047,1000000,100,100,6
4.79783,1000000,100,100,7
4.99408,1000000,100,100,8
0.807396,1000000,100,1000,1
2.56065,1000000,100,1000,2
3.03567,1000000,100,1000,3
2.86105,1000000,100,1000,4
3.94704,1000000,100,1000,5
4.96018,1000000,100,1000,6
6.7365,1000000,100,1000,7
6.83899,1000000,100,1000,8
0.776502,1000000,100,10000,1
2.09936,1000000,100,10000,2
2.63034,1000000,100,10000,3
2.7393,1000000,100,10000,4
4.70124,1000000,100,10000,5
5.02571,1000000,100,10000,6
4.68783,1000000,100,10000,7
6.91473,1000000,100,10000,8
1.08615,1000000,1000,100,1
4.23426,1000000,1000,100,2
6.52873,1000000,1000,100,3
9.47173,1000000,1000,100,4
13.1848,1000000,1000,100,5
17.6118,1000000,1000,100,6
20.8414,1000000,1000,100,7
26.8541,1000000,1000,100,8
0.680443,1000000,1000,1000,1
2.31704,1000000,1000,1000,2
2.79535,1000000,1000,1000,3
2.7117,1000000,1000,1000,4
3.30377,1000000,1000,1000,5
4.60579,1000000,1000,1000,6
3.81695,1000000,1000,1000,7
5.89645,1000000,1000,1000,8
0.662732,1000000,1000,10000,1
2.49706,1000000,1000,10000,2
2.83739,1000000,1000,10000,3
2.5729,1000000,1000,10000,4
3.4443,1000000,1000,10000,5
4.64535,1000000,1000,10000,6
4.71849,1000000,1000,10000,7
4.18234,1000000,1000,10000,8
1.0972,1000000,10000,100,1
3.82652,1000000,10000,100,2
6.14939,1000000,10000,100,3
9.27522,1000000,10000,100,4
13.3406,1000000,10000,100,5
16.878,1000000,10000,100,6
21.6939,1000000,10000,100,7
27.1674,1000000,10000,100,8
1.06931,1000000,10000,1000,1
4.31396,1000000,10000,1000,2
6.46429,1000000,10000,1000,3
8.6046,1000000,10000,1000,4
12.2303,1000000,10000,1000,5
17.3688,1000000,10000,1000,6
21.2756,1000000,10000,1000,7
25.2713,1000000,10000,1000,8
0.683575,1000000,10000,10000,1
2.12329,1000000,10000,10000,2
2.67768,1000000,10000,10000,3
2.45885,1000000,10000,10000,4
3.274,1000000,10000,10000,5
4.53797,1000000,10000,10000,6
4.09115,1000000,10000,10000,7
4.14125,1000000,10000,10000,8
10.3511,10000000,100,100,1
26.7131,10000000,100,100,2
31.3418,10000000,100,100,3
29.8243,10000000,100,100,4
38.512,10000000,100,100,5
55.9916,10000000,100,100,6
50.8231,10000000,100,100,7
70.0902,10000000,100,100,8
9.65819,10000000,100,1000,1
27.935,10000000,100,1000,2
30.1907,10000000,100,1000,3
30.2415,10000000,100,1000,4
38.8525,10000000,100,1000,5
59.8705,10000000,100,1000,6
66.3509,10000000,100,1000,7
70.9714,10000000,100,1000,8
9.39342,10000000,100,10000,1
27.6904,10000000,100,10000,2
29.1299,10000000,100,10000,3
30.482,10000000,100,10000,4
38.9396,10000000,100,10000,5
55.5685,10000000,100,10000,6
65.0465,10000000,100,10000,7
69.8627,10000000,100,10000,8
12.6969,10000000,1000,100,1
47.5753,10000000,1000,100,2
75.6137,10000000,1000,100,3
98.8724,10000000,1000,100,4
138.914,10000000,1000,100,5
