time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
22.2747,10000000,100,1000,1
10.9541,10000000,100,1000,2
7.53437,10000000,100,1000,3
5.5814,10000000,100,1000,4
4.80545,10000000,100,1000,5
4.07925,10000000,100,1000,6
3.58908,10000000,100,1000,7
3.20325,10000000,100,1000,8
2.94811,10000000,100,1000,9
2.67433,10000000,100,1000,10
2.6555,10000000,100,1000,11
2.71434,10000000,100,1000,12
22.2765,10000000,100,10000,1
11.1881,10000000,100,10000,2
7.62732,10000000,100,10000,3
5.62964,10000000,100,10000,4
4.82465,10000000,100,10000,5
4.11592,10000000,100,10000,6
3.67216,10000000,100,10000,7
3.23396,10000000,100,10000,8
2.93802,10000000,100,10000,9
2.69649,10000000,100,10000,10
2.59457,10000000,100,10000,11
2.4884,10000000,100,10000,12
18.1869,10000000,1000,1000,1
8.67941,10000000,1000,1000,2
5.7497,10000000,1000,1000,3
4.40499,10000000,1000,1000,4
3.81858,10000000,1000,1000,5
3.26929,10000000,1000,1000,6
2.9526,10000000,1000,1000,7
2.68901,10000000,1000,1000,8
2.59738,10000000,1000,1000,9
2.31319,10000000,1000,1000,10
2.28477,10000000,1000,1000,11
2.26088,10000000,1000,1000,12
18.3794,10000000,1000,10000,1
9.29215,10000000,1000,10000,2
6.28488,10000000,1000,10000,3
4.74619,10000000,1000,10000,4
4.09837,10000000,1000,10000,5
3.51901,10000000,1000,10000,6
3.21502,10000000,1000,10000,7
2.8467,10000000,1000,10000,8
2.71197,10000000,1000,10000,9
2.50667,10000000,1000,10000,10
2.35348,10000000,1000,10000,11
2.23131,10000000,1000,10000,12
250.322,100000000,100,1000,1
