time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
1.8318,1000000,100,100,1
3.12082,1000000,100,100,2
3.93913,1000000,100,100,3
4.72492,1000000,100,100,4
6.14425,1000000,100,100,5
7.46461,1000000,100,100,6
8.66336,1000000,100,100,7
9.78072,1000000,100,100,8
11.4165,1000000,100,100,9
11.4509,1000000,100,100,10
11.7623,1000000,100,100,11
13.9626,1000000,100,100,12
1.92697,1000000,100,1000,1
2.94274,1000000,100,1000,2
3.92006,1000000,100,1000,3
4.88377,1000000,100,1000,4
6.43076,1000000,100,1000,5
7.66817,1000000,100,1000,6
9.46359,1000000,100,1000,7
9.47291,1000000,100,1000,8
9.83943,1000000,100,1000,9
11.2674,1000000,100,1000,10
11.3042,1000000,100,1000,11
13.7886,1000000,100,1000,12
1.93793,1000000,100,10000,1
3.0949,1000000,100,10000,2
3.67462,1000000,100,10000,3
4.86761,1000000,100,10000,4
6.19967,1000000,100,10000,5
7.52623,1000000,100,10000,6
8.36498,1000000,100,10000,7
9.31545,1000000,100,10000,8
10.2066,1000000,100,10000,9
10.8929,1000000,100,10000,10
11.7222,1000000,100,10000,11
12.7171,1000000,100,10000,12
2.764,1000000,1000,100,1
6.28145,1000000,1000,100,2
9.19839,1000000,1000,100,3
12.6334,1000000,1000,100,4
16.2251,1000000,1000,100,5
19.8452,1000000,1000,100,6
24.105,1000000,1000,100,7
26.683,1000000,1000,100,8
30.0038,1000000,1000,100,9
32.9162,1000000,1000,100,10
34.1359,1000000,1000,100,11
38.7623,1000000,1000,100,12
1.18815,1000000,1000,1000,1
2.40403,1000000,1000,1000,2
3.14624,1000000,1000,1000,3
3.99944,1000000,1000,1000,4
5.40259,1000000,1000,1000,5
6.53816,1000000,1000,1000,6
7.37231,1000000,1000,1000,7
8.68982,1000000,1000,1000,8
9.11614,1000000,1000,1000,9
9.79632,1000000,1000,1000,10
12.9318,1000000,1000,1000,11
13.732,1000000,1000,1000,12
1.98861,1000000,1000,10000,1
4.28953,1000000,1000,10000,2
4.81835,1000000,1000,10000,3
5.76596,1000000,1000,10000,4
5.3345,1000000,1000,10000,5
7.92517,1000000,1000,10000,6
9.47888,1000000,1000,10000,7
10.913,1000000,1000,10000,8
11.778,1000000,1000,10000,9
12.6887,1000000,1000,10000,10
13.238,1000000,1000,10000,11
13.802,1000000,1000,10000,12
3.03798,1000000,10000,100,1
6.02742,1000000,10000,100,2
9.43965,1000000,10000,100,3
13.2347,1000000,10000,100,4
15.6415,1000000,10000,100,5
19.4286,1000000,10000,100,6
19.9031,1000000,10000,100,7
22.9056,1000000,10000,100,8
26.5338,1000000,10000,100,9
30.8444,1000000,10000,100,10
33.2103,1000000,10000,100,11
35.7416,1000000,10000,100,12
2.22039,1000000,10000,1000,1
5.62489,1000000,10000,1000,2
7.82163,1000000,10000,1000,3
10.5886,1000000,10000,1000,4
13.986,1000000,10000,1000,5
16.5262,1000000,10000,1000,6
21.8329,1000000,10000,1000,7
22.9753,1000000,10000,1000,8
25.2816,1000000,10000,1000,9
30.9121,1000000,10000,1000,10
33.4431,1000000,10000,1000,11
35.1939,1000000,10000,1000,12
0.976209,1000000,10000,10000,1
2.223,1000000,10000,10000,2
2.76158,1000000,10000,10000,3
3.97053,1000000,10000,10000,4
4.3849,1000000,10000,10000,5
5.70007,1000000,10000,10000,6
6.72288,1000000,10000,10000,7
6.74874,1000000,10000,10000,8
7.21086,1000000,10000,10000,9
10.1715,1000000,10000,10000,10
9.7623,1000000,10000,10000,11
10.2359,1000000,10000,10000,12
22.3987,10000000,100,100,1
38.0045,10000000,100,100,2
