time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
0.654544,1000000,100,100,1
0.843482,1000000,100,100,2
0.738407,1000000,100,100,3
0.876457,1000000,100,100,4
0.694419,1000000,100,100,5
0.844382,1000000,100,100,6
0.82118,1000000,100,100,7
0.717945,1000000,100,100,8
0.752406,1000000,100,100,9
0.613959,1000000,100,100,10
0.712186,1000000,100,100,11
0.743907,1000000,100,100,12
0.640097,1000000,100,1000,1
0.634121,1000000,100,1000,2
0.560611,1000000,100,1000,3
0.664226,1000000,100,1000,4
0.764287,1000000,100,1000,5
0.847492,1000000,100,1000,6
0.826695,1000000,100,1000,7
0.69215,1000000,100,1000,8
0.736875,1000000,100,1000,9
0.724159,1000000,100,1000,10
0.755234,1000000,100,1000,11
0.733967,1000000,100,1000,12
0.606421,1000000,100,10000,1
0.803043,1000000,100,10000,2
0.67338,1000000,100,10000,3
0.647229,1000000,100,10000,4
0.737199,1000000,100,10000,5
0.807367,1000000,100,10000,6
0.770864,1000000,100,10000,7
0.725988,1000000,100,10000,8
0.788965,1000000,100,10000,9
0.762353,1000000,100,10000,10
0.82356,1000000,100,10000,11
0.761628,1000000,100,10000,12
0.879974,1000000,1000,100,1
1.7001,1000000,1000,100,2
1.98163,1000000,1000,100,3
2.14252,1000000,1000,100,4
2.42515,1000000,1000,100,5
2.37863,1000000,1000,100,6
2.63392,1000000,1000,100,7
2.24373,1000000,1000,100,8
2.7911,1000000,1000,100,9
2.80912,1000000,1000,100,10
2.39313,1000000,1000,100,11
3.02601,1000000,1000,100,12
0.440004,1000000,1000,1000,1
0.931467,1000000,1000,1000,2
0.710003,1000000,1000,1000,3
0.741675,1000000,1000,1000,4
0.727404,1000000,1000,1000,5
0.695349,1000000,1000,1000,6
0.703202,1000000,1000,1000,7
0.673212,1000000,1000,1000,8
0.622391,1000000,1000,1000,9
0.654082,1000000,1000,1000,10
0.841959,1000000,1000,1000,11
0.838032,1000000,1000,1000,12
1.04261,1000000,1000,10000,1
1.17308,1000000,1000,10000,2
0.977931,1000000,1000,10000,3
0.914774,1000000,1000,10000,4
1.02431,1000000,1000,10000,5
1.04722,1000000,1000,10000,6
0.880157,1000000,1000,10000,7
0.983755,1000000,1000,10000,8
0.96326,1000000,1000,10000,9
1.00144,1000000,1000,10000,10
0.921891,1000000,1000,10000,11
0.910018,1000000,1000,10000,12
1.21794,1000000,10000,100,1
1.35532,1000000,10000,100,2
1.3845,1000000,10000,100,3
1.46109,1000000,10000,100,4
1.86377,1000000,10000,100,5
2.05945,1000000,10000,100,6
1.93456,1000000,10000,100,7
2.00915,1000000,10000,100,8
2.6683,1000000,10000,100,9
2.07857,1000000,10000,100,10
2.69632,1000000,10000,100,11
2.9862,1000000,10000,100,12
0.681745,1000000,10000,1000,1
1.78356,1000000,10000,1000,2
1.73274,1000000,10000,1000,3
1.40891,1000000,10000,1000,4
1.62596,1000000,10000,1000,5
1.72067,1000000,10000,1000,6
1.94364,1000000,10000,1000,7
1.97832,1000000,10000,1000,8
2.59067,1000000,10000,1000,9
2.76827,1000000,10000,1000,10
2.34943,1000000,10000,1000,11
2.82534,1000000,10000,1000,12
0.413178,1000000,10000,10000,1
0.631509,1000000,10000,10000,2
0.577156,1000000,10000,10000,3
0.560577,1000000,10000,10000,4
0.656419,1000000,10000,10000,5
0.658438,1000000,10000,10000,6
0.63578,1000000,10000,10000,7
0.658593,1000000,10000,10000,8
0.635719,1000000,10000,10000,9
0.794956,1000000,10000,10000,10
0.657858,1000000,10000,10000,11
0.707838,1000000,10000,10000,12
7.98416,10000000,100,100,1
7.95853,10000000,100,100,2
