time,number_of_points,number_of_buckets,range_of_numbers,number_of_threads
7.50644,10000000,100,1000,1
11.9679,10000000,100,1000,2
13.6323,10000000,100,1000,3
14.6344,10000000,100,1000,4
16.4226,10000000,100,1000,5
19.205,10000000,100,1000,6
20.7087,10000000,100,1000,7
22.4488,10000000,100,1000,8
24.8265,10000000,100,1000,9
25.3926,10000000,100,1000,10
28.5363,10000000,100,1000,11
31.8719,10000000,100,1000,12
7.5534,10000000,100,10000,1
11.7408,10000000,100,10000,2
13.6055,10000000,100,10000,3
14.5807,10000000,100,10000,4
16.3474,10000000,100,10000,5
18.6755,10000000,100,10000,6
19.9782,10000000,100,10000,7
21.7722,10000000,100,10000,8
24.4653,10000000,100,10000,9
28.437,10000000,100,10000,10
29.2701,10000000,100,10000,11
31.6432,10000000,100,10000,12
7.33958,10000000,1000,1000,1
10.4403,10000000,1000,1000,2
10.6039,10000000,1000,1000,3
11.6899,10000000,1000,1000,4
12.8085,10000000,1000,1000,5
13.6147,10000000,1000,1000,6
14.3522,10000000,1000,1000,7
14.6891,10000000,1000,1000,8
15.7166,10000000,1000,1000,9
16.6691,10000000,1000,1000,10
17.2761,10000000,1000,1000,11
17.7234,10000000,1000,1000,12
6.84608,10000000,1000,10000,1
9.98924,10000000,1000,10000,2
10.6367,10000000,1000,10000,3
11.6473,10000000,1000,10000,4
12.782,10000000,1000,10000,5
13.5476,10000000,1000,10000,6
14.1737,10000000,1000,10000,7
14.7593,10000000,1000,10000,8
15.5352,10000000,1000,10000,9
16.2624,10000000,1000,10000,10
16.9998,10000000,1000,10000,11
18.3049,10000000,1000,10000,12
88.0161,100000000,100,1000,1
127.004,100000000,100,1000,2
