time,pi,proc,points
0.0150701999664,3.1336,1,10000
0.0150773525238,3.1184,1,10000
0.0152640342712,3.1516,1,10000
0.0150866508484,3.138,1,10000
0.0151336193085,3.1504,1,10000
0.0151371955872,3.162,1,10000
0.0150692462921,3.136,1,10000
0.0154490470886,3.12,1,10000
0.0151605606079,3.1412,1,10000
0.0151951313019,3.1164,1,10000
151.056117296,3.14165076,1,100000000
154.638712883,3.14165544,1,100000000
155.049854279,3.14161264,1,100000000
153.185261011,3.141606,1,100000000
150.641134262,3.1416464,1,100000000
155.304796457,3.14166612,1,100000000
154.222896576,3.14163868,1,100000000
272.496479988,3.14143396,1,100000000
150.100124836,3.14152844,1,100000000
161.428160667,3.14167072,1,100000000
1052.14530206,3.141546328,1,500000000
759.419920206,3.141494152,1,500000000
804.563475132,3.141627416,1,500000000
761.437884569,3.141497256,1,500000000
984.986791611,3.141564864,1,500000000
851.550910711,3.141695552,1,500000000
747.065543413,3.14151448,1,500000000
788.326500654,3.141642208,1,500000000
758.481437683,3.141597176,1,500000000
