time,pi,proc,points
0.0150747299194,3.1332,1,10000
0.00783848762512,3.152,2,10000
0.0054018497467,3.1236,3,10000
0.0112764835358,3.1524,4,10000
0.00355386734009,3.1272,5,10000
0.00891613960266,3.1808,6,10000
0.0123591423035,3.1192,7,10000
0.00336194038391,3.1328,8,10000
156.555125475,3.14164556,1,100000000
77.3664164543,3.14153224,2,100000000
49.7959542274,3.14191172,3,100000000
38.8770735264,3.14156632,4,100000000
31.0570468903,3.1415064,5,100000000
25.9318370819,3.1415504,6,100000000
22.2514569759,3.14143012,7,100000000
19.5096228123,3.14165268,8,100000000
833.022220135,3.141618176,1,500000000
393.749648809,3.14164428,2,500000000
264.755648613,3.141684328,3,500000000
199.825974226,3.141605144,4,500000000
159.985951662,3.141688752,5,500000000
130.23849678,3.141741488,6,500000000
112.443216562,3.141541392,7,500000000
100.045474768,3.141662168,8,500000000
