time,pi,proc,points
0.0176820755005,3.1412,1,10000
0.0153176784515,3.1264,2,10000
0.0151813030243,3.1344,3,10000
0.0152990818024,3.1419,4,10000
0.0153903961182,3.14056,5,10000
0.0154583454132,3.143866666666666666666666667,6,10000
0.020480632782,3.140628571428571428571428571,7,10000
0.0283617973328,3.1433,8,10000
147.30390048,3.14175088,1,100000000
152.993256092,3.14152814,2,100000000
150.803446054,3.141445053333333333333333333,3,100000000
151.949883699,3.14155595,4,100000000
156.963917017,3.141528752,5,100000000
158.124833345,3.141520766666666666666666667,6,100000000
152.844666243,3.141606771428571428571428571,7,100000000
151.938042164,3.141651995,8,100000000
786.294800997,3.14160968,1,500000000
777.576188087,3.141653688,2,500000000
785.787762642,3.141627733333333333333333333,3,500000000
821.974978924,3.14160403,4,500000000
768.184666634,3.141621992,5,500000000
774.389249086,3.141605704,6,500000000
790.103426218,3.141598630857142857142857143,7,500000000
801.959241152,3.141596518,8,500000000
